"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","43,858,831","±146,712"
"    Less than 10.0 percent","1,711,674","±15,382"
"    10.0 to 14.9 percent","3,701,914","±21,907"
"    15.0 to 19.9 percent","5,240,201","±24,323"
"    20.0 to 24.9 percent","5,248,722","±23,937"
"    25.0 to 29.9 percent","4,739,892","±21,329"
"    30.0 to 34.9 percent","3,719,857","±20,343"
"    35.0 to 39.9 percent","2,716,546","±15,929"
"    40.0 to 49.9 percent","3,684,426","±21,388"
"    50.0 percent or more","10,048,573","±45,066"
"    Not computed","3,047,026","±19,079"